,weights_in
203,-0.4942422435469609
204,-0.13829790578920195
205,0.45008820556785095
206,-0.007698125560286072
207,0.29251521359486504
208,-0.30541854036876465
209,-0.3077446380819061
210,0.1514298546184341
211,0.35579223228395873
212,-0.331757740970367
213,0.5828963121817292
214,0.0042760717945735304
215,-0.696466574796184
216,-0.5135758937191229
217,0.45926184255908964
218,-0.6901784437927807
219,-0.46782451694453
220,0.5182064798430451
221,0.45913842909057584
222,0.6531482560742133
223,0.7387054365734336
224,-0.3191778745404586
225,-0.033323859902757935
226,0.24794020484965631
227,-0.573503824824862
228,-0.7244481735777629
229,-0.09853395192749748
230,0.5337591408424016
231,0.461324393921312
232,-0.20878470775807206
233,-0.23790552392828207
234,0.02743636151577127
235,0.12151348395426192
236,0.41237719368499876
237,-0.7946673077245081
238,0.0015848045490298565
239,-0.5028737162812605
240,0.11914007807440119
241,-0.024697775189163936
242,0.34949657622787983
243,-0.11266537569414091
244,-0.03606268944965867
245,-0.2556244031743079
246,0.5347065178479695
247,0.40805011732736274
248,0.37138059623322256
249,0.7639944482391074
250,0.23000261980262435
251,-0.7814440299364043
252,0.012732477234877686
253,0.3674678917450912
254,-0.47621499579661714
255,0.03742700691510101
256,-0.5274323443890817
257,-0.496800683038519
258,-0.021831952733747138
259,0.31063632761746635
260,-0.3641437774131395
261,0.42141864882651786
262,-0.2703849600775844
263,0.3850869134566084
264,0.4009462778732536
265,-0.0985020152342804
266,-0.49001744070844605
267,0.4499790868256318
268,0.6955681258482489
269,-0.09767266543917542
270,-0.5309766321649044
271,0.1852525547913609
272,0.39207361277937014
273,0.23598690224094768
274,-0.24725014069905138
275,-0.06511987804469442
276,-0.2670878712419935
277,0.5399994646382342
278,0.09774130301261112
279,-0.9500364360067383
280,0.43830687136291335
281,0.453858705872145
282,-0.3801060406054075
283,0.44771353896032323
284,-0.6112028557480979
285,-0.2941069409382897
286,-0.1449518592743378
287,-0.4693722613082586
288,-0.41666725611349587
289,-0.9228223702969537
290,0.1501414320976601
291,0.47015164241922264
292,0.3932732549031185
293,0.3931817069308889
294,-0.09539825257970495
295,-0.18411117997000437
296,0.155421213472496
297,-0.5126403348570635
298,0.20627375881529014
299,0.2428669929116814
300,0.48554333162489605
301,-0.08305075630522243
302,-0.3364056113634772
303,0.5255017703317751
304,0.3378277034761908
305,0.1865210125746049
306,-0.36595120046723106
307,0.5121482711379934
308,-0.3646455205935236
309,0.10254017112381653
310,0.12101449722887386
311,0.30291256687766077
312,-0.2781059024055416
313,0.17728696486745446
314,-0.3622681536205317
315,0.7375083511384917
316,0.37179954253206055
317,0.10090983381187414
318,0.39108071705664543
319,-0.016858246942902236
320,0.10447082227062617
321,-0.20240360729635845
322,-0.8235030487761413
323,0.6133203747599261
324,0.3411267611603629
325,0.5715843545193177
326,0.7483586324356611
327,0.5822239804919142
328,-0.1615238822768755
329,-0.7941255548268091
330,0.45339814169701076
331,0.017512763818190884
332,0.1500528309144918
333,0.0069076572080351804
334,-0.2600311127090067
335,-0.8892175125534598
336,-0.05538351695697034
337,-0.08582514691818041
338,0.27906793296253873
339,-0.01574945028596552
340,-0.16848314444865664
341,0.4339522579310674
342,0.05115824147748518
343,-0.4261381097963241
344,0.550165118027832
345,0.09472692309579714
346,-0.5318160401861763
347,0.8434577642641722
348,-0.5899221973748145
349,0.5875848821018476
350,0.1581110859197153
