grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050310,3/25/2017 20:51,63.0000000000,4.4916670000,16.4984700000,8.2841250000,6.2726980000,31.8371400000,59.5000000000
NL050310,3/23/2017 16:29,62.0000000000,4.5825000000,15.9557600000,8.4317630000,6.1150900000,31.8473800000,59.5000000000
NL050310,1/2/2017 7:04,59.0000000000,4.6216660000,16.5389600000,8.9763830000,6.3352230000,31.8917600000,59.5000000000
NL050310,3/23/2017 9:14,61.0000000000,4.6908340000,14.6021400000,8.3989540000,6.4839810000,31.9173600000,59.5000000000
NL050310,4/5/2017 0:23,62.0000000000,4.6633330000,17.0785300000,8.6089290000,6.4075160000,31.9327200000,59.5000000000
NL050310,1/2/2017 5:54,63.0000000000,4.6508330000,16.6156500000,8.9468560000,6.2946430000,31.9549100000,59.5000000000
NL050310,1/19/2017 3:53,65.0000000000,4.6041670000,#DIV/0!,8.9599790000,6.1401000000,31.9634500000,59.5000000000
NL050310,3/23/2017 21:53,61.0000000000,4.4091670000,15.8118800000,8.4908180000,6.7063270000,31.9907600000,59.5000000000
NL050310,2/20/2017 9:32,64.0000000000,4.6750000000,17.3706900000,8.5531540000,6.7481200000,31.9924600000,59.5000000000
NL050310,1/28/2017 16:19,64.0000000000,4.6016660000,14.0654600000,8.9173280000,5.8993930000,31.9958800000,59.5000000000
NL050310,4/10/2017 1:41,65.0000000000,4.5250000000,14.7499500000,8.6909490000,6.3974720000,32.0095300000,59.5000000000
NL050310,1/28/2017 19:50,64.0000000000,4.6075000000,14.7156700000,9.0584040000,5.9612020000,32.0214800000,59.5000000000
NL050310,3/2/2017 4:39,61.0000000000,4.5450000000,16.1132200000,8.5236260000,6.5487810000,32.0453700000,59.5000000000
NL050310,2/20/2017 7:32,65.0000000000,4.6858330000,18.0388100000,8.4547290000,6.3968640000,32.0613600000,59.5000000000
CM020230,1/11/2017 4:49,32.0000000000,3.4375000000,11.1817600000,7.8969860000,5.1506590000,32.0641500000,27.5000000000
NL050350,2/25/2017 4:49,71.0000000000,4.4600000000,17.7364900000,9.2585350000,7.2046220000,32.0769500000,69.5000000000
NL050310,4/9/2017 16:40,65.0000000000,4.5366670000,15.4683400000,8.8057790000,6.1948570000,32.0930100000,59.5000000000
NL050310,4/4/2017 21:05,62.0000000000,4.8150000000,16.1224200000,8.7368810000,6.1113630000,32.1017000000,59.5000000000
NL050310,4/4/2017 17:34,64.0000000000,4.8650000000,16.8894200000,8.5498730000,6.3344800000,32.1170600000,59.5000000000
NL050310,3/2/2017 6:39,65.0000000000,4.7466660000,17.0625400000,8.5334690000,6.1100680000,32.1238900000,59.5000000000
NL050310,3/23/2017 11:04,62.0000000000,4.6133330000,15.5021400000,8.4809760000,6.5457420000,32.1426600000,59.5000000000
NL050310,1/28/2017 12:35,62.0000000000,4.6150000000,15.8318400000,8.8779570000,6.2290940000,32.1580200000,59.5000000000
NL050310,4/10/2017 3:29,61.0000000000,4.4083330000,16.1705500000,8.7401620000,6.4990760000,32.1581800000,59.5000000000
NL050310,2/20/2017 6:56,67.0000000000,4.7841670000,18.6427000000,8.5334690000,6.2674630000,32.1600400000,59.5000000000
NL050310,2/10/2017 10:38,64.0000000000,4.4475000000,15.9108700000,8.6023660000,6.0517750000,32.1716800000,59.5000000000
NL050310,4/5/2017 2:01,64.0000000000,4.6336360000,15.0272200000,8.6936340000,6.3054350000,32.1805200000,59.5000000000
NL050310,2/10/2017 3:58,64.0000000000,4.5158330000,16.3340400000,8.6647020000,6.3805170000,32.1972800000,59.5000000000
NL050310,1/2/2017 4:09,65.0000000000,4.7308340000,17.0712000000,9.0354380000,6.2964220000,32.2024000000,59.5000000000
NL050310,4/10/2017 5:16,63.0000000000,4.4325000000,15.9205500000,8.7828130000,6.5504630000,32.2092300000,59.5000000000
NL050310,1/2/2017 19:54,64.0000000000,4.7358330000,17.1877900000,9.1699520000,5.4527900000,32.2194700000,59.5000000000
NL050310,3/23/2017 7:18,62.0000000000,4.7075000000,15.1128500000,8.4514480000,6.2906080000,32.2263000000,59.5000000000
NL050310,4/5/2017 3:40,64.0000000000,4.7166670000,14.9265900000,8.7631280000,6.3610190000,32.2382400000,59.5000000000
NL050310,1/2/2017 17:59,62.0000000000,4.6600000000,16.6535900000,9.0944930000,6.3224640000,32.2501900000,59.5000000000
NL050310,1/3/2017 10:45,63.0000000000,4.7175000000,17.8576600000,8.9665400000,6.5478150000,32.2740900000,59.5000000000
NL050310,3/1/2017 14:34,68.0000000000,4.6366670000,16.0984100000,8.6712650000,6.1607830000,32.2860300000,59.5000000000
NL050310,2/20/2017 5:07,67.0000000000,4.5975000000,17.1576500000,8.5498730000,6.1997180000,32.3031000000,59.5000000000
NL050310,2/10/2017 8:53,61.0000000000,4.4229170000,16.5304400000,8.6778260000,6.3687705000,32.3060050000,59.5000000000
NL050310,3/23/2017 18:18,62.0000000000,4.4525000000,16.7570200000,8.4940990000,6.5764870000,32.3338200000,59.5000000000
NL050310,3/25/2017 12:32,62.0000000000,4.5075000000,16.0202100000,8.5301890000,6.4268480000,32.3406500000,59.5000000000
