,rct,tsi,stfi,caliper,moisture,basisweight,cull,prediction
38,-1.7120566424259036,0.652025062341187,-1.311889970196256,-1.554689214949825,-0.17875503002383733,-1.5178366451524408,-1.7991396540573665,94.25172808356632
39,-1.6619165384144954,0.761776794334345,-1.3306421333629748,-1.320289480817559,0.3224443302591476,-1.51481945353226,-1.7991396540573665,94.19419074581701
40,-1.7621967464373118,1.127615900978215,-0.8639216278802022,-1.8225746253866995,1.0040754602440067,-1.5097908008319596,-1.7991396540573665,95.54150136085823
41,-2.063037370505761,-0.33574052559725825,-1.4306536702521404,-1.7146763350718475,0.3224443302591476,-1.5097908008319596,-1.7991396540573665,93.34586797548539
42,-1.7120566424259036,1.5666228289508568,-0.7639100909910366,-1.7667651648790177,1.144411281123243,-1.5077793397518389,-1.7991396540573665,97.00297403766204
43,-1.8624769544601283,0.9081124369918923,-1.1681233859180804,-1.7742064262800419,-0.018371234733282015,-1.5007392259714176,-1.7991396540573665,94.52299836051867
44,-1.8624769544601283,0.1398503130397697,-1.6598467756231443,-1.5174829079447036,-0.33913882531439266,-1.5007392259714176,-1.7991396540573665,93.90117195423188
45,-1.7621967464373118,-0.11623706161093565,-1.428570096566949,-1.543527322848288,0.001676739678036952,-1.4997334954313577,-1.7991396540573665,93.74829626136355
46,-1.8624769544601283,0.1398503130397697,-1.124368338529071,-1.4095846176298508,-0.17875503002383733,-1.4987277648912978,-1.7991396540573665,94.70957989978297
47,-1.611776434403087,1.3471193649645343,-0.7159878962316446,-1.8076921025846513,0.8837876137760912,-1.4987277648912978,-1.7991396540573665,96.4004399779418
48,-1.81233685044872,0.213018134368545,-1.6015067124377982,-1.5770129991528974,0.7434517928968548,-1.497722034351237,-1.7991396540573665,93.21194221448087
49,-1.9126170584715365,0.46910550901925036,-1.6202588756045169,-1.5249241693457276,0.6432119208402581,-1.496716303811177,-1.7991396540573665,93.36327502829309
50,-1.81233685044872,1.164199811642601,-1.0368582437510507,-1.6737493973662139,-0.31909085090307365,-1.4936991121909964,-1.7991396540573665,95.79450249957159
51,-1.8624769544601283,-0.18940488293971094,-1.5077458966042057,-1.4653940781375332,-0.0785151579672407,-1.4926933816509365,-1.7991396540573665,93.89600142700945
