grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050550,4/14/2017 14:42,125,4.84,24.91,15.6,6,52.84,119.5
NL050550,1/11/2017 12:53,124,4.45,31.14,15.09,6.9,52.84,119.5
NL050550,1/28/2017 7:14,125,4.5,27.06,15.22,6.29,52.84,119.5
NL050550,3/7/2017 8:58,120,4.94,26.11,15.98,6.49,52.84,119.5
NL050550,1/20/2017 20:55,125,4.86,27.72,15.42,6.17,52.85,119.5
NL050550,1/20/2017 8:33,126,4.96,28.77,15.62,6.06,52.86,119.5
NL050550,1/19/2017 12:34,121,4.75,,15.02,6.67,52.86,119.5
NL050550,2/10/2017 10:37,125,4.73,28.71,15.19,6.61,52.86,119.5
NL050550,1/26/2017 14:25,119,4.54,25.82,15.08,6.28,52.87,119.5
NL050550,3/30/2017 8:42,124,4.8,28.14,15.54,6.28,52.87,119.5
NL050550,4/6/2017 7:09,121,4.99,27.09,15.95,6.07,52.88,119.5
NL050550,1/20/2017 14:37,131,4.83,27.18,15.74,6.32,52.89,119.5
NL050550,1/29/2017 21:40,121,4.5,28.12,14.74,6.56,52.9,119.5
NL050550,1/25/2017 17:22,127,4.63,28.56,14.77,6.5,52.9,119.5
NL050550,1/10/2017 21:11,120,4.26,24.55,15.85,6.22,52.91,119.5
NL050550,2/9/2017 2:55,122,4.86,30.88,15.08,6.3,52.91,119.5
NL050550,1/26/2017 10:26,121,4.51,26.53,15.21,6.42,52.92,119.5
NL050550,2/10/2017 12:18,125,4.86,28.45,15.22,6.52,52.92,119.5
NL050550,2/20/2017 8:15,122,4.98,28.45,15.82,6.78,52.92,119.5
NL050550,4/15/2017 23:24,127,5.06,27,15.65,6.04,52.93,119.5
NL050550,2/21/2017 8:56,121,5.03,27.8,15.53,6.61,52.93,119.5
NL050550,4/6/2017 12:07,121,4.84,25.43,15.94,5.77,52.94,119.5
NL050550,2/10/2017 20:28,121,5.01,28.75,15.38,6.11,52.94,119.5
NL050550,3/29/2017 7:21,124,4.66,29.47,15.55,6.96,52.94,119.5
NL050550,3/28/2017 2:13,127,4.71,30.51,15.51,7.04,52.95,119.5
NL050550,1/27/2017 13:22,121,4.6,29.39,15.21,6.5,52.95,119.5
NL050550,1/27/2017 17:26,126,4.63,29.16,15.2,6.16,52.95,119.5
NL050550,2/19/2017 20:36,124,4.99,28.87,15.55,6.43,52.95,119.5
NL050550,2/9/2017 16:53,127,4.78,28.81,15.24,6.35,52.95,119.5
NL050550,3/22/2017 14:23,133,4.91,29.69,14.28,6.72,52.96,119.5
NL050550,4/15/2017 7:15,121,4.97,26.84,15.67,6.47,52.96,119.5
NL050550,3/30/2017 0:33,126,4.92,25.83,15.35,6.39,52.97,119.5
NL050550,1/30/2017 5:11,121,4.53,28.3,15.06,6.41,52.97,119.5
NL050550,1/4/2017 11:35,125,4.84,24.68,16.79,6.33,52.97,119.5
NL050550,1/27/2017 8:00,123,4.47,29.1,15.26,6.57,52.97,119.5
NL050550,4/4/2017 21:55,122,4.63,24,16.06,5.92,52.98,119.5
