,rct,tsi,stfi,caliper,moisture,basis,cull,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,prediction
65,30.0,3.4542,10.3188,7.979,7.8051,23.4482,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.506674258456606
66,29.0,3.3475,10.9324,7.7625,7.996,23.4516,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.013843956668644
67,31.0,3.4717,10.9851,8.0577,8.4013,23.4572,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.5576327607709
68,31.0,3.4525,10.1442,8.5597,7.69,23.4584,27.5,1,0,0,0,0,0,1,0,0,0,0,0,33.038166973543724
69,30.0,3.445,10.0585,7.5919,8.0678,23.4687,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.622875260334006
70,32.0,3.54,10.6182,7.5984,7.6908,23.4738,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.124465167759887
71,32.0,3.3325,10.4304,8.3957,8.0745,23.4738,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.416823796850366
72,32.0,3.37,10.6055,8.1332,7.7469,23.4755,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.709246719212544
73,30.0,3.6833,11.2787,7.6181,7.83,23.4806,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.20598710569764
74,32.0,3.4358,10.6555,8.0249,7.5383,23.4891,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.664076841621664
75,31.0,3.5064,10.1132,7.7309,7.8643,23.4907,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.07145043491726
76,32.0,3.3825,10.6627,8.3924,7.6849,23.4908,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.51845083919878
77,30.0,3.4658,10.8027,8.0282,7.9779,23.4963,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.04620004546743
78,31.0,3.325,10.2519,7.9101,7.7988,23.5028,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.810365970729322
79,30.0,3.4542,9.748,7.7362,8.0869,23.5096,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.848734018000727
80,31.0,3.535,10.8723,7.8412,8.086,23.5147,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.97203297626978
81,31.0,3.3308,10.1015,7.9134,7.88,23.5149,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.817142897905242
82,30.0,3.5208,10.6106,7.7526,7.8678,23.5182,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.44930366944267
83,29.0,3.6125,10.9568,7.956,8.1097,23.5267,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.633190544822284
84,33.0,3.5208,10.3945,8.0053,7.0553,23.5298,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.948528983841946
85,32.0,3.4258,10.096,7.9134,7.6678,23.5335,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.091018048869778
86,31.0,3.5242,10.3954,7.6575,7.1584,23.5417,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.11077096278938
87,32.0,3.3492,10.5391,8.1135,8.0314,23.542,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.731750904013396
88,29.0,3.4408,10.9538,7.7592,8.1305,23.5455,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.500921997857183
89,30.0,3.3817,10.0215,8.189,8.3568,23.5472,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.082166481410624
90,31.0,3.4267,10.6489,7.7865,8.2099,23.5517,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.413231297946318
91,30.0,3.4858,10.2059,7.9134,7.8245,23.5642,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.466995329759264
92,31.0,3.4683,10.0894,7.7559,8.0316,23.5728,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.09191973171535
93,31.0,3.465,10.1349,7.7395,7.8609,23.5762,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.96372549004056
94,31.0,3.39,10.8808,8.0413,7.5314,23.5796,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.67697252351978
95,37.0,3.4742,11.6687,7.8248,8.6725,23.5881,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.69374903044012
96,33.0,3.535,10.9968,7.7428,7.8149,23.6001,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.710597337330803
97,31.0,3.4808,11.1175,7.874,7.8263,23.6005,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.86443274609504
98,31.0,3.52,10.5483,7.7094,8.0619,23.6061,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.456217577867406
99,31.0,3.5942,11.3722,7.4541,8.3427,23.6069,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.866298997121298
100,31.0,3.4858,10.4728,8.1299,7.4673,23.608,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.09649801535714
101,31.0,3.5525,10.3137,7.7658,7.6698,23.6154,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.423336516773716
102,31.0,3.415,10.0867,8.0676,7.8345,23.6206,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.53775139535194
103,31.0,3.42,10.7651,8.1201,7.5951,23.6308,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.977422993797553
104,33.0,3.3767,10.9463,7.9462,7.9432,23.6378,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.602303721331317
105,31.0,3.3792,10.4697,8.143,7.7461,23.6694,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.773144718854084
