,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
138,5.08,27.12,15.02,6.05,52.08,124,124.7787824,0.778782367,0.778782367,
139,4.41,21.7,15.65,6.57,52.08,113,120.3947588,7.394758815,7.394758815,
140,4.19,23.96,14.23,6.07,52.08,122,120.8120712,-1.18792876,1.18792876,
141,5.08,30.16,15.07,6.64,52.08,123,124.9198178,1.919817793,1.919817793,
142,4.93,26.16,15.61,6.13,52.08,122,123.275059,1.275059036,1.275059036,
143,5.11,25.61,15.6,5.89,52.09,121,124.2254467,3.225446673,3.225446673,
144,5.27,28.32,15.37,6.25,52.1,129,125.572577,-3.427422969,3.427422969,
145,5,29.57,15.04,5.98,52.12,127,125.2027886,-1.797211357,1.797211357,
146,5.08,28.16,15.6,6.32,52.12,122,124.4019762,2.401976217,2.401976217,
147,5.24,29.12,15.49,6.06,52.13,123,125.7735797,2.773579655,2.773579655,
148,4.73,28.6,14.61,5.84,52.13,126,123.9499964,-2.050003599,2.050003599,
149,4.81,26.3,15.36,6.09,52.14,122,123.0050832,1.005083197,1.005083197,
150,4.83,30.65,14.29,6.9,52.14,126,124.2202233,-1.779776696,1.779776696,
151,4.8,26.79,15.62,6.4,52.15,123,122.5164496,-0.483550378,0.483550378,
152,4.92,27.01,15.47,6.43,52.15,126,123.2448671,-2.755132891,2.755132891,
153,4.95,28.95,15.31,6.42,52.16,126,124.1115227,-1.88847726,1.88847726,
154,5.12,29.38,15.45,6.21,52.16,126,125.1453203,-0.854679662,0.854679662,
155,4.94,29.31,14.96,6.72,52.16,127,124.1008866,-2.899113429,2.899113429,
156,5.02,29.54,15.3,6.05,52.16,122,125.0343911,3.034391146,3.034391146,
157,5.02,29.07,15.59,6.24,52.17,122,124.4794524,2.479452445,2.479452445,
158,5.2,29.44,15.46,5.79,52.17,126,125.9916031,-0.008396854,0.008396854,
159,5.05,25.21,15.39,5.89,52.17,123,123.9603668,0.960366817,0.960366817,
160,5.01,28.8,15.58,6.19,52.17,122,124.4409441,2.440944086,2.440944086,
161,4.94,28.65,14.58,6.1,52.17,121,124.7028933,3.702893292,3.702893292,
162,4.5,25.94,15.11,6.67,52.17,125,121.0147212,-3.985278763,3.985278763,
163,4.98,27.77,15.34,6.42,52.17,127,123.89209,-3.107910011,3.107910011,
164,4.96,28.94,15.27,6,52.18,123,124.7030409,1.70304086,1.70304086,
165,5.1,29.05,15.05,6.03,52.18,128,125.510543,-2.48945703,2.48945703,
166,4.86,28.65,15.03,6.45,52.18,124,123.7738086,-0.226191415,0.226191415,
167,5.02,29.33,15.35,6.43,52.19,125,124.4895319,-0.510468103,0.510468103,
168,4.48,23.19,15.75,6.22,52.19,116,120.7374906,4.737490613,4.737490613,
169,4.82,28.99,15.47,6.42,52.19,124,123.3728643,-0.627135678,0.627135678,
170,5.11,30.4,15.38,6.28,52.19,127,125.228514,-1.771485977,1.771485977,
171,4.74,29.45,14.63,6.32,52.19,125,123.8018911,-1.198108877,1.198108877,
172,5.01,25.86,14.54,5.83,52.2,131,124.158791,-6.841209045,6.841209045,
173,4.97,29.42,15.74,6.28,52.2,122,124.189546,2.189545983,2.189545983,
174,5.14,29.77,15.24,5.83,52.21,125,125.8887004,0.888700352,0.888700352,
175,4.99,29,14.47,6.15,52.21,127,125.0299346,-1.970065414,1.970065414,
176,4.93,29.49,15.14,6.74,52.21,124,123.934928,-0.065071995,0.065071995,
177,4.76,28.86,15.33,6.49,52.21,126,123.0700841,-2.929915874,2.929915874,
178,4.92,22.15,14.83,6.35,52.22,124,122.2989953,-1.701004683,1.701004683,
179,5.11,28.99,15.3,6.33,52.22,124,125.0034871,1.003487146,1.003487146,
180,4.77,29.75,15.16,5.93,52.23,130,124.1353602,-5.86463975,5.86463975,
181,4.81,26.14,14.63,6.38,52.24,121,122.7630524,1.763052359,1.763052359,
182,5.02,28.72,15.31,5.86,52.24,128,125.0687829,-2.931217147,2.931217147,
183,4.82,27.4,15.51,6.24,52.24,123,123.1028257,0.102825701,0.102825701,
184,5.08,27,15.7,5.82,52.24,121,124.6217416,3.621741605,3.621741605,
185,4.75,26.4,15.34,6,52.25,126,122.9083354,-3.091664649,3.091664649,
186,5.13,28.56,15.42,6.54,52.25,122,124.6130583,2.613058339,2.613058339,
187,4.61,27.77,14.52,6.92,52.25,122,121.9159834,-0.084016582,0.084016582,
188,5.13,29.24,14.8,6.61,52.25,130,125.195314,-4.804685958,4.804685958,
189,5.13,28.08,15.43,5.75,52.25,127,125.4598903,-1.540109745,1.540109745,
190,5.1,26.81,15.45,6.47,52.26,128,124.0375254,-3.962474633,3.962474633,
191,4.8,27.96,15.48,6.82,52.26,123,122.5005701,-0.499429932,0.499429932,
192,5.15,29.53,14.97,6.29,52.26,124,125.6206064,1.620606432,1.620606432,
193,4.84,25.5,15.35,5.59,52.26,122,123.4967657,1.496765735,1.496765735,
194,4.52,26.15,15.49,6.26,52.26,125,121.3833685,-3.616631503,3.616631503,
195,5.09,27.57,15.18,6,52.26,126,125.0157485,-0.984251475,0.984251475,
196,4.98,28.84,15.21,6.3,52.27,130,124.481979,-5.518021024,5.518021024,
