,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
639,4.88,29.26,15.91,6.23,54.58,127,124.5343991,-2.46560092,2.46560092,
640,4.4,29.17,15.06,6.89,54.58,128,121.6807309,-6.319269123,6.319269123,
641,4.78,28.32,14.47,6.62,55.07,124,123.9856813,-0.014318692,0.014318692,
642,4.72,29.69,15.89,6.74,55.13,122,123.6257536,1.625753576,1.625753576,
643,4.83,27.41,15.79,6.6,55.21,125,123.2976265,-1.702373452,1.702373452,
644,4.86,39.03,15.68,8.47,55.33,124,123.914514,-0.085486008,0.085486008,
645,5.11,28.37,15.12,5.97,55.48,123,125.8176117,2.817611724,2.817611724,
646,4.75,30.64,15.69,9.33,55.57,121,122.0902314,1.090231418,1.090231418,
647,4.84,32.07,15.48,7.18,55.76,127,124.2184462,-2.781553777,2.781553777,
648,4.99,29.26,15.37,6.89,55.93,123,124.4310495,1.431049506,1.431049506,
649,4.97,28.09,15.4,6.59,55.96,121,124.4181655,3.418165494,3.418165494,
650,5.01,26.85,15.43,6.32,55.99,123,124.517124,1.517124002,1.517124002,
651,5.07,33.8,15.61,7.54,56.11,123,124.6412531,1.641253114,1.641253114,
652,5.1,29.2,15.08,6.13,56.38,129,125.888136,-3.111863976,3.111863976,
653,5.04,27.13,15.59,6.67,56.4,122,124.3608371,2.36083706,2.36083706,
654,4.48,26.19,15.09,5.94,56.7,121,122.6572113,1.657211331,1.657211331,
655,4.38,27.02,15.02,6.03,56.82,120,122.4563467,2.456346661,2.456346661,
656,4.29,25.12,14.33,6.02,56.83,123,122.3969635,-0.603036459,0.603036459,
657,4.38,28.73,14.86,6.81,56.83,123,122.1843617,-0.81563831,0.81563831,
658,4.74,28.66,14.55,6.39,56.84,121,124.426658,3.426657962,3.426657962,
659,4.56,22.39,14.21,7.03,56.88,122,121.8940499,-0.105950143,0.105950143,
660,4.66,27.55,16.1,6.16,56.98,122,123.8463343,1.846334336,1.846334336,
661,4.36,25.29,14.49,6.08,57.07,126,122.5197254,-3.480274622,3.480274622,
662,4.51,24.68,15.05,5.8,57.1,126,122.6981109,-3.301889055,3.301889055,
663,4.97,27.34,15.39,6.65,57.11,124,124.3154566,0.315456619,0.315456619,
664,4.78,27.36,14.41,6.51,57.27,121,124.2523736,3.252373618,3.252373618,
665,4.27,25.74,15.14,5.8,57.31,121,121.8825481,0.882548064,0.882548064,
666,4.35,25.47,14.97,6.5,57.33,124,121.5772044,-2.422795559,2.422795559,
667,4.64,28.13,15.87,6.28,57.9,120,124.0999078,4.099907781,4.099907781,
668,5.27,31.83,15.37,9.17,57.92,128,123.817687,-4.18231295,4.18231295,
669,4.86,25.75,15.92,7.95,58.03,120,122.062949,2.062948996,2.062948996,
670,4.87,27.34,17.32,6.62,58.05,126,126.9002281,0.900228089,0.900228089,
671,4.23,26.57,14.64,6.09,58.54,124,122.3321936,-1.667806397,1.667806397,
672,4.06,21.12,15.29,7.62,58.56,119,119.3284635,0.328463505,0.328463505,
673,4.96,30.51,15.38,6.97,59.5,122,125.2832137,3.283213707,3.283213707,
674,4.82,25.91,15.99,6.96,59.56,127,123.4822101,-3.51778993,3.51778993,
675,4.97,25.8,15.74,6.28,60.46,130,124.6951279,-5.304872082,5.304872082,
676,5.1,38.81,15.58,10.33,60.73,121,123.7416716,2.741671573,2.741671573,
677,4.71,29.33,15.59,6.69,60.77,120,125.0304707,5.030470731,5.030470731,
678,4.88,28.73,15.63,5.65,61.53,123,125.8539308,2.853930756,2.853930756,
679,4.59,30.84,15.82,8.11,61.82,124,123.6118595,-0.388140519,0.388140519,
680,4.53,20.84,15.98,6.65,62.11,121,121.4364185,0.436418482,0.436418482,
681,4.96,26.68,15.91,6.56,62.31,120,125.3497978,5.349797762,5.349797762,
682,4.76,32.98,19.4,6.75,64.06,135,136.9896114,1.989611382,1.989611382,
683,4.27,24.43,15.46,7.27,64.44,125,121.4451549,-3.554845092,3.554845092,
684,4.73,34.41,19.1,6.21,65.24,139,137.163228,-1.836772031,1.836772031,
685,4.59,33.56,18.6,7.14,65.28,133,134.9182439,1.918243885,1.918243885,
686,5.04,31.8,15.15,7.67,66.98,123,125.4029013,2.402901336,2.402901336,
687,4.95,30.55,15.49,8.12,66.98,124,124.5946375,0.594637462,0.594637462,
688,4.76,31.72,18.76,7.38,67,149,134.8879657,-14.11203435,14.11203435,
689,4.5,32.91,20.59,6.76,67.73,145,138.8694018,-6.130598231,6.130598231,
690,4.92,32.24,15.61,8.25,68.4,124,125.196369,1.19636897,1.19636897,
691,4.4,29.3,15.31,6.41,73.81,123,125.5229449,2.522944878,2.522944878,
692,5.05,36.38,15.57,10.77,83.78,126,124.6219023,-1.378097702,1.378097702,
