,tsi,stfi,caliper,moisture,basisweight,cull,rct,prediction
189,5.18,30.09,14.93,6.37,51.76,119.5,133.0,126.02797880772671
190,5.14,29.2,14.9,6.15,51.76,119.5,122.0,125.66510490942746
191,4.78,25.64,15.6,5.63,51.77,119.5,124.0,124.3151987852774
192,4.84,27.68,14.27,6.58,51.78,119.5,122.0,120.86685932065109
193,4.96,26.77,14.62,6.22,51.79,119.5,127.0,122.59222983961872
194,5.16,29.2,15.28,5.54,51.8,119.5,124.0,127.9436973057101
195,4.84,25.91,15.49,6.0,51.8,119.5,125.0,123.33765528490571
196,4.2,26.15,14.25,6.16,51.81,119.5,122.0,119.16940652048484
197,5.23,30.66,15.26,5.75,51.81,89.5,131.0,112.38208288206482
198,4.88,29.24,14.45,6.29,51.81,119.5,124.0,122.99987007020727
199,4.89,23.08,14.92,6.49,51.84,119.5,129.0,119.91028351364696
200,4.76,26.76,15.4,6.16,51.84,119.5,123.0,122.69289695514182
201,4.88,31.13,14.05,6.52,51.86,119.5,133.0,123.09119550064345
202,4.74,27.58,15.46,6.08,51.86,119.5,124.0,123.37965219063499
203,4.9,27.96,15.14,5.82,51.86,119.5,128.0,124.85619268587172
204,4.45,28.23,14.96,6.25,51.86,119.5,127.0,121.27070539634619
205,5.12,28.95,15.08,5.88,51.87,119.5,126.0,126.39473356463077
206,4.61,31.33,14.82,6.89,51.87,119.5,121.0,121.75044733688212
207,5.14,27.67,15.03,5.75,51.89,119.5,129.0,126.26721938017442
208,4.75,25.17,15.44,5.5,51.9,119.5,124.0,124.20533351059075
209,5.06,29.06,15.57,6.2,51.9,119.5,125.0,125.90113845113588
210,4.81,31.06,14.74,6.54,51.9,119.5,122.0,123.44816895702773
211,5.05,27.53,15.45,6.08,51.9,119.5,122.0,125.21992876352488
212,5.1,29.78,15.09,6.27,51.9,119.5,127.0,125.73913116204753
213,5.04,29.17,15.07,6.24,51.91,119.5,127.0,125.03975199225762
214,4.91,25.44,15.63,5.85,51.91,119.5,126.0,124.31250455755112
215,4.91,29.47,15.33,6.0,51.91,119.5,124.0,125.42136682987812
216,4.97,27.54,15.47,5.55,51.92,119.5,123.0,126.46618560447283
217,4.91,28.49,15.3,5.83,51.92,119.5,127.0,125.41021029874071
218,4.73,26.96,14.69,5.74,51.92,119.5,129.0,123.08149206881588
219,5.28,26.82,15.45,5.93,51.93,119.5,122.0,126.94316437372444
220,4.96,28.28,15.46,6.03,51.93,119.5,124.0,125.2045216059822
221,4.92,28.76,15.2,6.04,51.93,119.5,124.0,124.80676064718246
222,4.8,28.77,14.83,6.27,51.93,119.5,121.0,122.9029670771408
223,4.81,25.85,15.4,6.02,51.93,119.5,117.0,123.01184053540898
224,5.2,29.95,14.9,6.31,51.93,119.5,122.0,126.26916634362314
225,4.94,27.13,15.4,6.01,51.94,119.5,126.0,124.4743058007456
226,4.7,25.71,15.41,6.12,51.94,119.5,123.0,122.06546288514673
227,4.89,27.33,15.42,6.14,51.94,119.5,123.0,123.872279891743
228,5.16,28.2,15.55,6.16,51.94,119.5,125.0,126.27012658116959
229,4.86,28.08,15.53,5.57,51.95,119.5,123.0,126.09862837938435
230,5.06,25.82,15.04,5.78,51.95,119.5,126.0,124.87604047127074
231,5.1,28.86,15.4,6.13,51.95,119.5,127.0,126.04662144488888
232,5.04,27.4,15.49,6.31,51.96,119.5,125.0,124.52174084856955
233,4.86,29.18,14.46,6.69,51.96,119.5,121.0,121.95314287806018
234,4.88,24.65,16.32,5.97,51.97,119.5,126.0,124.28158579089398
235,5.31,30.48,14.93,6.21,51.97,119.5,130.0,127.56278645771827
236,5.42,28.61,15.23,6.2,51.97,119.5,133.0,127.96549180299908
237,5.17,29.1,15.55,6.17,51.97,119.5,123.0,126.77201245928235
238,5.04,28.98,15.24,6.33,51.98,119.5,125.0,124.98711253566718
239,5.01,28.57,15.73,6.18,51.98,119.5,120.0,125.63442041225565
