,rct,tsi,stfi,caliper,moisture,basisweight,cull,prediction
28,90.0,1.164199811642601,-1.3785643281223665,-1.8225746253866995,0.28234838143650787,-1.5701346332355706,-1.7991396540573665,98.04001649784325
29,94.0,0.9812802583206676,-0.8743394963061564,-1.785368318381578,-0.1988030044351563,-1.5681231721554498,-1.7991396540573665,99.89449778502495
30,93.0,1.5300389182864675,-1.193126270140372,-1.8374571481887485,0.6833078696628961,-1.5530372140545472,-1.7991396540573665,99.02191867957812
31,96.0,1.5666228289508568,-1.038941817436242,-1.781647687681066,-0.9606260320652931,-1.5520314835144873,-1.7991396540573665,101.41981594607995
32,95.0,0.9446963476562783,-0.9764346068805133,-1.9230316543005281,0.16206053496859227,-1.5520314835144873,-1.7991396540573665,99.02622538531303
33,96.0,2.4080527742317512,-0.6493135383055342,-1.8337365174882363,0.5830679976062995,-1.5409684475738246,-1.7991396540573665,101.72830806066912
34,94.0,0.8349446156631203,-1.6994346756417726,-1.5658511070513612,-0.21885097884647703,-1.5349340643334641,-1.7991396540573665,97.90949886118912
35,88.0,1.7861262929371762,-0.690985012009353,-1.785368318381578,0.5028760999610219,-1.5299054116331627,-1.7991396540573665,101.00194763082547
36,95.0,1.0544480796494395,-1.5640023861043613,-1.4839972316400936,-0.8603861600086965,-1.5198481062325615,-1.7991396540573665,99.93659987049344
37,92.0,0.5422733303480256,-1.5327487808264966,-1.5695717377518732,0.26230040702518886,-1.518842375692501,-1.7991396540573665,97.70041515783016
38,92.0,0.652025062341187,-1.311889970196256,-1.554689214949825,-0.17875503002383733,-1.5178366451524408,-1.7991396540573665,98.85071649437896
39,94.0,0.761776794334345,-1.3306421333629748,-1.320289480817559,0.3224443302591476,-1.51481945353226,-1.7991396540573665,98.91535949882888
40,92.0,1.127615900978215,-0.8639216278802022,-1.8225746253866995,1.0040754602440067,-1.5097908008319596,-1.7991396540573665,100.01774726308689
41,97.0,-0.33574052559725825,-1.4306536702521404,-1.7146763350718475,0.3224443302591476,-1.5097908008319596,-1.7991396540573665,97.46624867926501
42,93.0,1.5666228289508568,-0.7639100909910366,-1.7667651648790177,1.144411281123243,-1.5077793397518389,-1.7991396540573665,101.08056985800256
43,91.0,0.9081124369918923,-1.1681233859180804,-1.7742064262800419,-0.018371234733282015,-1.5007392259714176,-1.7991396540573665,99.00085349494466
44,93.0,0.1398503130397697,-1.6598467756231443,-1.5174829079447036,-0.33913882531439266,-1.5007392259714176,-1.7991396540573665,98.0503341957058
45,92.0,-0.11623706161093565,-1.428570096566949,-1.543527322848288,0.001676739678036952,-1.4997334954313577,-1.7991396540573665,98.06960356962608
46,90.0,0.1398503130397697,-1.124368338529071,-1.4095846176298508,-0.17875503002383733,-1.4987277648912978,-1.7991396540573665,99.55435906502065
47,93.0,1.3471193649645343,-0.7159878962316446,-1.8076921025846513,0.8837876137760912,-1.4987277648912978,-1.7991396540573665,100.71847494352525
